Municipios,Nome do Conflito,Familias,Area
Caarapdo,T. Novilho/Nhandeva/T. |. Pindo Roky/Itagua/Retomada |. Dourados Amambai das Maes/Faz. Pegua,150,
Caarapdo,Dourados Amambai Pegua Faz. Yvu/lvu/Tekoha Torapaso/Kunumi Poty Vera/T. |.,40,
Caarapdo,Faz. Santa Maria/Tekoha Toropaso/T. |. Dourados Amambai,24,
Campo Caarapo Caarap6/ Dois Irmaos Grande Aquidauana do Buriti,Area Acamp. Faz. Pegua Nhamoi Agua da Sebastiao Guaviray/Faz. JBS Branca/Jeroky Bilhar/Billar/BR-262 Agua Guasu Branca,200 150 20 30,3700
Dourados,Sitios Retomados/Imediagées das Aldeias Bororo e Jaguapiru,30,
Dourados,Serrana Com. Apyka'y/Acamp. na BR-463/Km 10/Proximo a Faz.,5,
Dourados,Acamp. Nhu Pora/Nhu Vera/Uvera/Campo Bonito/Curral de,45,
Iguatemi,Tekoha Mbaraka'y-Pyelito Kue/Guarani Kaiowa,20,
Itapora/ Douradina,T. |. Lagoa Rica/Guarani-Kaiowa,50,
Japora Japora,Area Porto em Lindo/lvy Japora - Katu/Guarani - Kaiowa,760 80,1700
Miranda,T. |. Pillad Rebua/Aldeia Moreira,100,208
Miranda,T. |. Pilad Rebua/Aldeia Passarinho,250,
Miranda,Aldeia Mae Terra/T. |. Cachoeirinha,24,
Mundo Novo,Area em Mundo Novo,120,
Nioaque,Acamp. as Margens da MS-419,250,
Nova Andradina,Fazenda Boarete,100,
Rio Brilhante,Faz. Sto. Ant6énio da Nova Esperanga/Com. Laranjeira,45,450
Sidrolandia,Acamp. Perto da Rede Ferroviaria do Brasil,130,15
Subtotal:,26,2755,19955
Acucena/ Belo Horizonte/ Carmésia,T. |. Patax6/Projeto Minas-Rio/Anglo American,150,
Anténio Carlos,Faz. da Serra/Acamp. Gabriel Pimenta,,4000
Anténio Carlos,Faz. Capao da Onga/Acamp. Gabriel Pimenta,,290
Bocaitiva/ Engenheiro Navarro,Faz. Santo Eloy/Garrote,,1400
Buritizeiro,Com. Vazanteira do Cérrego Canabrava/Faz. Canabrava,,5052
Campo do Meio,Faz. Ariadndpolis/Assent. Quilombo Campo Grande,,6000
Capitao Enéas,Faz. Norte América/Acamp. Alvimar Ribeiro,,
Conceigao do Mato Dentro,Com. Sebastiao do Bom Sucesso - Sapo/Proj. Minas-Rio/Anglo American,,
Conceigao do Mato Dentro,Com. Cabeceira do Turco/Projeto Minas-Rio/Anglo American,,
Conceigao do Mato Dentro,Com. do Turco/Projeto Minas-Rio/Anglo American,,
Conceigao do Mato Dentro,Familia Pimenta/Proj. Minas-Rio/Anglo American,,
Coronel Pacheco,Faz. Sao José/Liberdade/Acamp. Gabriel Pimenta/Reunidas,,2700
Francisco Sa,Faz. Redengao/Acamp. Alvimar Ribeiro,,
Grao Mogol,Cancelas Faz. Rio Rancho/Buriti Pequeno/Com. Geraizeiros do Vale das,,6434
Ibiai,Com. Extrativista Barra do Pacui e Pescadores Artesanais as,,
Igarapé,Faz. da Empresa MMX de Eike Batista,,
Itacarambi,Com. Vazanteira Barrinha/Rio Sao Francisco,,
Januaria,Com. Quil. Croata/Rio Sao Francisco,,541
Jequitai,Com. Barrocao Pau de Fruta/Buritis de Baixo,,
Manga/ Matias Cardoso,Com. da Ilha de Pau Preto/Rio Sao Francisco/Proj. Jaiba,,
Montes Claros,Fazenda Bom Jesus,,200
Nova Serrana,Faz. Canta Galo/Acamp. Nova Jerusalém,,
Padre Carvalho,Territ. Geraizeiro Curral de Varas II/Rio Rancho Agrop. S/A,,
Pedras Presidente de Maria Olegario da Cruz,Area Com. no Quil. Distrito Caraibas/Faz. de Galena/Indigenas Pedra de Sao Xucuru Joao Karir Agrop.,,
Riacho dos Machados,Carpathian Gold Com. Riacho dos Machados/margens do Sao Francisco/Min.,,
Sao Joaquim de Bicas,Complexo de Fazs. de Eike Batista,,700
Uberaba,Faz. Pao de Queijo/Acamp. 19 de Margo,,
Vazante,Faz. Veredinha/Acamp. José Beraldo,,
Subtotal:,40,,27317
Acara/ Tomé-Acgu,Com. Quil. Alto Acara/Biovale,,4300
Afua,Cajueiro/PAE Ilha dos Caras**,,1000
Alenquer,Fazenda Laguinho,,1615
Almeirim/ Monte Dourado,Projeto Jari Celulose/Jarcel,100,
Altamira/ Senador José Porfirio,T.I. Ituna/Itata,,142000
Ananindeua,Com. Quilombola do Abacatal,121,864
Anapu,Gl. Belo Monte/PDS Virola Jatoba/Dorothy,160,39385
Anapu,Gl. Bacaja/Lote 46/ Faz. Sta. Luzia,48,
Anapu,Gleba Bacaja/PDS Esperanga/Assassinato da Ir. Dorothy,178,
Anapu/ Senador José Porfirio/ Vitoria do Xingu,T. |. Paquigamba/Juruna/UHE Belo Monte/PAC,24,
Baiao,Resex Ipau/Anilzinho,100,
Bom Jesus do Tocantins,Fazenda Gaucha,300,
Bom Jesus do Tocantins,Faz. Goiana/Aras Sta. Elias,200,4356
Bom Jesus do Tocantins,Fazenda Mococa,,968
Breu Branco,Fazenda Chama/Acampamento Irma Dorothy,31,1219
Cachoeira do Arari,Com. Quil. de Gurupa,200,12852
Canaa dos Carajas,Acamp. Carajas/Vale/Projeto Serra Dourada/Complexo S11D Sao Luis/P. A.,300,
Canaa Canaa dos dos Carajas Carajas,"Acamp. P. A. Carajas Rio Sossego/Area I, Il, Ill/ Proj. Mineragao da Vale Sossego/CVRD",300 54,
Canaa dos Carajas,Acamp. Carajas/Vale/Projeto Grotao do Mutum/Complexo S11D Sao Luis/P. A.,350,4120384
Canaa dos Carajas,Acamp. Alto da Serra/Parte da Faz. Cristalino,80,
Canaa dos Carajas,Acamp. Luis/P. A. Eduardo Carajas/Vale Galeano/Retiro do Zequinha/Comp. Sao,200,
Curiondpolis,Acamp. Uniao do Axixa/Parte da Faz. Cristalino,200,
Curiondpolis/ Parauapebas/ Maraba,Faz. Marambaia/Fazendinha/Colorado/Acamp. Frei Henri,120,15000
Eldorado dos Carajas/ Irituia,Agrop. Sta. Barbara/M? Bonita/Compl. Faz. Sao Felipe,212,23000
Goianésia Ipixuna Itaituba do do Para Para,Faz. Reserva Fazenda Triangulo/Acamp. Indigena Campo de Praia Boi Nova | do e Mangue II Esperanga,500 42 75,19973 31
Itaituba,Com. Mangabal e Montanha/PCH's Tapajés,101,
Itaituba/ Altamira/ Novo Progresso,Faz. Atalas/Tigre/Castelo dos Sonhos/PDS Brasilia,350,55000
Itaituba/ Trairao,T. |. Sun Sawré Muybu/Munduruku/PCHs Tapajés/Mineradora Belo,170,178000
Itupiranga,Fazenda Cristalina,100,2376
Jacareacanga,T. |. Munduruku/UHE Tapajés/Mineradora Belo Sun/PAC,1630,
Maraba,Complexo da Faz. Trés Poderes/Agrop. Sta. Barbara,300,11835
Maraba,Fazenda Piranheira/Vale,150,16623
Maraba,Chavez Faz. Santa Tereza/Acamp. Santa Ernestina/Acamp. Hugo,450,1258
Maraba,Faz. Santa Clara/Acamp. Boa Esperanga,168,
Moju,Quil. de Jambu-Agu/Vale do Rio Doce,788,
Monte Alegre/ Santarém,PAE Lago Grande/Com. Aldeia/Jacarecapa/Passagem e,8500,250000
Novo Progresso,PDS Terra Nossa e Riozinho,1000,
Obidos Novo Repartimento/ Baiao,T. Faz. 1. Zo'é Petrdpolis/Gleba12,50 75,668565 3000
Ourilandia do Norte,Fazenda Mil e Duzentos,226,3000
Ourilandia do Norte,P. A. Tucuma/Campos Altos/Proj. Onga Puma/Vale,247,
Paragominas/ Santa Luzia do Para/ Garrafao do N,T.I. Alto Rio Guama/Tembé,300,279000
Parauapebas,Fazenda Santa Clara,70,3500
Pau d Arco,Faz. Santa Lucia/Acamp. Nova Vida/Jane Julia,200,5662
Placas,PDS Avelino Ribeiro,237,
Placas,PDS Arthur Faleiro,237,26164
Placas,PDS Castanheira,126,26164
Redengao,Faz. Santo Amaro/Acamp. Bom Sucesso,92,454
Salvaterra,Com. Quilombola Boa Vista,42,
Salvaterra,Com. Quilombola Bacabal,54,516
Santa Isabel do Para,Granja Kitagawa/Acamp. 13 de Agosto,27,
Santa Maria das Barreiras,Faz. Pontal/Acamp. Lagoa Azul,70,
Santana do Araguaia,Fazenda Ouro Verde,120,4500
Santana do Araguaia,Parte da Faz. Vale do Rio Cristalino/Agrop. Sta. Barbara,100,
Santana do Araguaia/ Cumaru do Norte,Faz. Estrela de Maceié/Acamp. Cangaia-Brilhante,400,
Santarém,T. |. Maro,60,42000
Santarém,PAE Eixo Forte,1386,12689
Santarém,T. |. Munduruku/Planalto Santareno,150,
Santarém,Com. Quilombola Tiningu,86,
Santarém/ Prainha,Gl. Pacoval/Corta-Corda/Raisan/PDS Sta. Clara/PAE Curua II,460,24000
Sao Domingos do Araguaia,Com. de Quebradeiras de Coco de Sao Domingos do Araguaia,,
Sao Félix do Xingu,Complexo Divino Pai Eterno/Acamp. Novo Oeste,220,8000
Sao Félix do Xingu,Assent. Belauto/Faz. Jaguara,300,
SAo Félix do Xingu/ Altamira,T. |. Apyterena/Apyterewa/Parakana,176,773000
Sao Félix do Xingu/ Tucuma/ Cumaru do Norte/ Ou,T. |. Kayapo,907,3284005
Sao Joao do Araguaia,Faz. Esperantina/Sidenorte,10,
Sao Jodo do Araguaia,Com. de Quebradeiras de Coco de Sao Joao do Araguaia,,
Sao Joao do Araguaia,Fazenda Landi,,1800
Senador José Porfirio,Gl. Bacajai/T. |. Arara da Volta Grande do Xingu,,25500
Tomé-Acu,T. |. Tembé/Turé-Mariquita,,147
Tucurui/ Uruara/ Altamira/ Pacaja Rurdpolis/ Medicilandia,T. Sun Fazenda |. Cachoeira Mineradora/PAC Petropolis/Gleba Seca do Iriri/indios 11 Arara/UHE Belo Monte/Belo,,
Subtotal:,82,,10093705
Alhandra,Faz. Garapu/Acamp. D. José Maria Pires,,5000
Mogeiro,Fazenda Paraiso,,700
Patos Mogeiro,Area Fazenda da EMBRAPA/Acamp. Salgadinho Cicero Gregorio,,361
Pedras de Fogo,Mamoaba Agro Pastoril S/A/Acamp. Arcanjo Belarmino,,
Pilar,Fazenda Paraiso,,400
Sao José dos Ramos,Faz. Sao José/Pau-a-Pique,,1100
Subtotal:,11,,7561
Guaira,T. |. Guarani Mbya/Aldeia Tekoha Marangatu/Itaipu Binacional,,
Guaira,T. |. Guarani Mbya/Aldeia Tekoha Tatury/Mineradora,,
Quedas do Iguacu,Faz. Dona Hilda e Sta. Rita/Araupel,,2040
Quedas do Iguacu,Faz Rio das Cobras/Araupel/Acamp. Herdeiros da Terra 1° de,,35000
Santa Helena,Tekoha Curva Guarani /T.I. Ava Guarani/Itaipu Binacional,,
Santa Helena,Tekoha Mokoi Joegua-Ete Dois Irmaos-Pyau/Itaipu Binacional,,
SAo Miguel do Iguacu,T.I. Ava Guarani Mbya Ocoy/Res. Sta. Rosa do Ocui/UHE,,231
Subtotal:,13,,37271
Alianga,Engenho Belo Horizonte,,350
Cabo de Santo Agostinho,Eng. IIlha/Complexo Suape,,1000
Floresta/ Petrolandia,S. Francisco Estagao de Bombeamento 2 Eixo Leste/Agude Areias/Transp.,,
Ipojuca,Engenho Salgado/Us. Salgado,1,
Ipojuca,Com. Quil. Ilha de Mercés/Complexo Suape,479,
Jaboatao dos Guararapes Itaquitinga Ipojuca/ Escada,Engenho Suassuna Eng. Pocgos/Us. Santa Tereza Us. Salgado/Com. Sitio Zé Ipojuca,300 100 160,
Jaqueira Jaqueira,Eng. Eng. Caixa Fervedouro/Us. d' Agua/Varzea Frei Caneca Velha/Us. Frei Caneca,150 71,560
Jaqueira,Com. do Eng. Colénia II/Laranjeira/Us. Frei Caneca,48,207
Jaqueira,Eng. Colénia |/Barro Branco/Us. Frei Caneca,77,2000
Jatoba,Com. Caldeirao/T.|. Pankararu,75,
Jatoba,Com. Bem Querer de Baixo/T.I. Pankararu,75,
Jatoba,Com. Cacheado/T.|. Pankararu,75,
Jatoba,Com. Bem Querer de Cima/T.|. Pankararu,75,
Lajedo Lagoa dos Gatos/ Canhotinho,Faz. Riacho de Dentro/Riachao Faz. Mario/Acamp. Lula Livre XI,162 80,960
Orocoé Orocoé Orocoé Orocoé Orocoé Moreno,Com. Com. Com. Com. Com. Engenho Quil. Quil. Quil. Quil. Quil. Una/Us. Vitorino/Territ. Mata Caatinguinha/Territ. Remanso/Territ. Umburana/Territ. de Bulhées Sao Jodo/Territ. Aguas Aguas Aguas Aguas do do do Velho Aguas Velho do Velho Velho Chico do Chico Chico Velho Chico Chico,40 35 75,800
Paudalho,Eng. Planalto/Acamp. Lula Livre IV,100,
Petrolandia/ Tacaratu,T. |. Pankararu/Us. Eletronuclear,917,8100
Petrolina,Area no Proj. Pontal Sul,700,
Sao Joaquim do Monte,Faz. Jabuticaba/4 Irmaos,45,
Serra Talhada,Faz. Jatoba/Acamp. Lula Livre IX,157,
Sertania,Faz. Santa Luzia/Acamp. Fortaleza,30,
Sertania,Fazenda Jau,85,
Tamandaré,Engenho Canoinha,70,800
Timbatba Vitoria de Santo Antao,Eng. Jenipapo/Acamp. Lula Livre X Eng. Nova Cinta/Acamp. Lula Livre III,152 130,
Subtotal:,45,6061,14777
Baixa Grande do Ribeiro,Comunidade Morro d' Agua,8,1200
Baixa Grande do Ribeiro,Com. Brejo Seco/Santa Fé/Riozinho,82,
Bom Jesus,Comunidade Salto |,10,1000
Bom Jesus,Com. Salto do Santo Anténio,17,1221
Bom Jesus,Comunidade Salto II,16,
Bom Jesus/ Gilbués,Com. Correntina/Riacho Melancias/Morro dos Cavalos/Brejo d' Agua/Gata/Barra das Eguas/Serra do Partida/Assent. Rio Preto,41,
Bom Jesus/ Santa Filomena,Areas em Bom Jesus e Santa Filomena,96,
Curralinhos Palmeirais/ Nazaria,Area Fazenda Veneza Piquete,140 120,
Palmeirais/ Nazaria,Area Galiza,80,
Paulistana,Com. Quill. Contente/Transnordestina,47,
Santa Filomena Santa Filomena,Comunidade Baixao Fechado Sete Lagoas/Lagoa do Junco/Vao do Vico,24 10,
Santa Filomena,Area em Chupé/Grupo Pompeu/JAP,8,
Teresina,Acampamento Santa Teresa,80,
Teresina/ Altos,Fazenda Sao Joao,57,
Teresina/ Nazaria,Data Sao José do Junco/Chapadinha,200,1860
Subtotal:,19,1036,5281
Angra Campos dos dos Reis Goytacazes/ Sao Joao da Barra Parati Mangaratiba,APA de Cairugu/Com. Caigara Praia do Sono/Ponta Negra Com. Fazenda Agua Bracui Preta/Complexo Portuario Acu/Minas-Rio/PAC Faz. Santa Justina/Acamp. Olga Benario,200 15 57,33800 850
Parati,Serra de Bocaina Com. Tradicionais Caigaras/Trindade/Cajaiba/Pq. Nac. da,23,
Rio das Ostras,Uniao Faz. Montes Verdes/Rancho Sagitario/Reserva Biolégica,200,
Rio de Janeiro,Comunidade Quilombola da Vila Sacopa,8,
Rio de Janeiro,Quilombo Pedra do Sal,25,
Subtotal:,8,528,34650
Afonso Bezerra,Area do Estado/Acamp. Antonio Batista,100,
Macaiba,Acamp. Independéncia Camponesa/ Barragem de Tabatinga,50,
Subtotal:,2,150,
Canela Marau Encruzilhada do Sul,T. Area Area |. Kaingang/Floresta da do DNIT Fepagro Nacional de Canela,,350
Porto Alegre,Faz. Ponta do Arado/T.| Guarani Mbya,,426
Subtotal:,6,,1156
Alta Floresta do Oeste/ Sao Francisco do Guaporé,T. | Rio Branco/Aldeia Anderé,,236000
Alta Floresta do Oeste/ Sao Francisco do Guaporé,T. |. Massaco,,422000
Alvorada do Oeste,Faz. do Italiano/Verde Vale,,3000
Ariquemes,Faz. Arroba/S6 Cacau/Acamp. Canaa,,3600
Buritis/ Nova Mamoré,Fazenda Schumann,300,10500
Cabixi,Acampamento Igarapé Preto,120,
Cacoal,T. |. Sete de Setembro,345,248000
Campo Novo de Rondénia/ Seringueiras/ Monte Ne,T. |. Uru-Eu-Wau-Wau,115,
Candeias do Jamari,Linha Rio Preto,100,
Chupinguaia/ Vilhena,Corumbiara/Assoc. Faz. Estrela/Pai Herdi/Lotes Nossa Sra. 52 Aparecida e 53/Linhas 80 e 85/GI.,40,
Corumbiara,Assentamento Roncauto,40,
Costa Marques,Reserva Extrativista do Rio Cautario/T. |. Cojubim,150,
Costa Marques,Com. Quilombola do Forte Principe da Beira,60,
Costa Marques,Com. Quilombola de Santa Fé,12,1452
Espigao do Oeste/ Vilhena,Reserva Indigena Roosevelt,240,
Guajara-Mirim,T. |. Sagarana,85,18000
Guajara-Mirim/ Nova Mamoré,T. |. Igarapé Lage,120,
Guajara-Mirim/ Itapua do Oeste Nova Mamoré,T. Faz. |. Igarapé Agua Azul/Acamp. Ribeirao/Aldeia Raio Ribeirao de Sol II/Gl. Cajueiro/Lotes 01 02 e,50 50,200
Ji-Parana,Chacara em Ji-Parana,26,
Ji-Parana,T. |. Igarapé Lourdes,246,186000
Labrea (AM)/Porto Velho (RO),T. |. Kaxarari,70,10223
Machadinho D Oeste,Resex Rio Preto Jacunda,24,
Mirante da Serra,Faz. na Linha 70/Area Revolucionaria Paulo Bento,60,
Nova Mamoré,Acamp. Conquista/Faz. Primavera/Gleba Buriti/Distrito de,35,
Nova Mamoré,Acamp. Dois Irmaos/Dois Amigos/Faz. do Bispo/Linha 29 C,105,
Nova Uniao/ Mirante da Serra,Assent. Margarida Alves/Palmares e Pe. Ezequiel,200,11000
Ouro Preto do Oeste/ Vale do Paraiso,204/Acamp. Monte Cristo Faz. Triangulo/Trianon/Acamp. Jati/Terra Nossa/Lote,400,11000
Porto Velho,Faz. Kamias/Gleba do Japonés/Acamp. Frutos da Terra,,
Porto Velho/ Alto Paraiso,Acamp. Nova Esperanga/Boa Esperang¢a/Titulo Definitivo Sao Sebastiao/Flona Bom Futuro,419,
Porto Velho/ Campo Novo de Rondénia/ Nova Ma,Resex Jaci-Parana,,191234
Porto Velho/ Guajara-Mirim/ Nova Mamoré,T. |. Karipuna,,152930
Rio Crespo,"Acamp. 15, 16/GI. Bacuri/Linha 01 105/C-95/Km 30/GI. Burareiro/Lotes 14,",,
Sao Miguel do Guaporé,Com. Quilombola do Senhor Jesus,,5627
Seringueiras,Faz. Bom Futuro/Acamp. Enilson Ribeiro,,11000
Seringueiras,Faz. Riacho Doce/Acamp. Paulo Freire 4,,2480
Vilhena,Assoc. Iqué Vitéria/Lotes 435/436/437/438/439/455,24,
Vilhena,Gl. Corumbiara/Setor 12/Lote 52/Faz. Duarte/Assoc.,50,
Vilhena,Lote 33 C/Assoc. dos Produtores Rurais Dois Coragées,32,684
Subtotal:,52,4997,1524930
Alto Alegre,T.I. Macuxi e Wapixana/ Reserva Boqueirao,116,
Amajari,T.I| Anaro/Maloca do Anaro,11,
Boa Vista,T. |. Anzol/Faz. Sao Jorge,14,
Bonfim,T.I. Wapixana/ Reserva Moskow,157,
Bonfim,T. |. Macuxi e Wapixana/ Reserva Canauanim,245,11182
Canta,T.I. Wapixana/ Maloca Recanto da Saudade (NS),,
Canta/ Bonfim,T.I. Wapixana/ Reserva Muriru,46,
Caracarai/ Bonfim,T.I. Wapixana/ Reserva Jacamim,365,
Caroebe/ Mucajai/ Pacaraima Alto Sao Alegre/ Jodo da Caracarai Baliza,T. T.I. T.I. |. Trombetas-Mapuera/ Manoa-Pium/Wapixana/Macuxi Yanomami/Apiaui/Papiu/Y Wai Wai/ awaripé Hixcariana,1142 567 131,9644975 43000
Pacaraima,T. |. SAo Marcos/Macuxi/Wapixana/Taurepang,1460,654000
Sao Luis/ Sao Joao da Baliza,T. |. Waimiri Atroari,502,
Uiramuta/ Normandia/ Pacaraima,T. |. Raposa Serra do Sol/Jawari/Brilho do Sol/S. Miguel,3800,1678800
Subtotal:,14,8556,12031957
Abelardo Luz,Faz. Papua/ltalia Il/Acamp. Kide,62,1700
Abelardo Luz/ lpuacgu/ Xanxeré/ Entre Rios,T. |. Xapecd/Kaingang,1334,660
Balneario Camboriu,Com. Quilombola Morro do Boi,11,
Calmon,Faz. Pinhal/Pinhalao/Acamp. Maria Marta,120,2000
Campos Novos/ Monte Carlo,Com. Quilombola Invernada dos Negros,170,8000
Floriandépolis,Com. Quilombola Vidal Martins,28,
Fraiburgo,Fazenda Agroceres,80,600
Garopaba,Com. Quilombola Aldeia,34,
Monte Carlo,Com. Quilombola Campo dos Poli,12,
Paulo Lopes,Com. Quilombola Toca de Santa Cruz,38,
Xanxeré/ Faxinal dos Guedes,Chiarelo Faz. Chapecozinho II/Prezzotto Sementes/Acamp. Marcelino,400,1067
Subtotal:,20,2289,14027
Agudos,Faz. Tangara/Marrua,500,750
Aragatuba Araraquara,Acamp. Fazenda Encontro Santa Cecilia das Aguas,75 30,1680
Araraquara,Acamp. Novo Horizonte,270,
Bauru,Fazenda Paiva,250,
Castilho Boa Esperanga do Sul,Area Fazenda em Castilho Cachoeirnha,130 40,
Dracena,Faz. Espinheiro Preto,12,
Duartina,Fazenda Esmeralda,350,1500
Galia,Faz. Rio Vermelho,150,1200
Galia,Faz. Paraiso/Vitdria/Assent. Luiz Beltrame,77,
laras/ Tieté,Faz. Capivara/Faz. Sao Domingos do Tupa/Acamp. Anita,86,8000
Iporanga,Com. Galvao/Vale do Ribeira,33,
Limeira Itaporanga,Area Faz. Lageado/Acamp. do Horto Florestal lzael de Limeira Fagundes,108 25,2000 400
Limeira/ Americana,Usina Ester/Acamp. Roseli Nunes,789,
Mirante do Paranapanema,Fazenda Santa Cruz,100,900
Mogi-Guagu,Fazenda Campininha,250,4500
Pederneiras/ Bauru,Aymorés/Sitio Sta. Marina Horto Florestal Aymorés/Acamp.Terra Nossai/P. A.,80,5262
Pindamonhangaba,Area da Agéncia de Tecnologia do Agronegécio - APTA,250,
Ribeirao Preto,Faz. Sta. Lydia/Soc. Agricola Santa Elydia,50,
Riversul,Fazenda Can-Can,,600
Sao Carlos,Faz. Canchim/Embrapa,50,
Taubaté Serrana,Area Faz. Martindpolis/Usina Publica no Km 119 Nova da Via Uniao Dutra,200 170,
Taubaté,Fazenda Santana,70,300
Taubaté,Faz. Santa Rita/Acamp. Andrea Guaraciane,70,
Teodoro Sampaio,Fazenda Santa Cecilia,300,456
Valinhos,Faz. Eldorado/Acamp. Marielle Vive,500,1000
Subtotal:,30,5015,28548
Subtotal:,5,,
Araguaina/ Babaculandia/ Filadélfia,Faz. Boa Esperanca/ltaparica/Agua Viva/Acamp. na TO-222,,
Ipueiras,Faz. Pantano do Papagaio/Acamp. Clodomir Santos de Morais,,2070
Palmeirante,Faz. Recreio/Freitas/Acamp. Bom Jesus/Gabriel Filho,,975
Pequizeiro/ Couto Magalhaes,Fazenda Morrinhos e Jacu,,2884
Santa Tereza do Tocantins,Comunidade Quilombola Barra do Aroeira,174,
Sao Félix do Tocantins,Comunidade Quilombola do Rio do Prata,78,
Tocantinopolis/ Maurilandia do Tocantins,T. |. Apinajé/Apinayés/UHE Serra Quebrada/PAC,227,
Subtotal:,25,1574,81192
Total:,868,118080,39425490
